"m","T[mu,L2]","T[mu,D]"
24,0.0092990700929907,0.0172982701729827
26,0.0072992700729927,0.0172982701729827
28,0.0090990900909909,0.0200979902009799
31,0.007999200079992,0.00999900009999
33,0.0071992800719928,0.0135986401359864
36,0.0077992200779922,0.0111988801119888
38,0.0061993800619938,0.0111988801119888
40,0.0068993100689931,0.0131986801319868
43,0.0071992800719928,0.0127987201279872
45,0.0073992600739926,0.0124987501249875
